clean_text,label_id
ho lasciato il cuore in quella via sotto la pioggia di novembre,1
oggi è il mio giorno non mi fermerò mai,0
ti cerco in ogni sogno ma non ci sei,4
grido al cielo tutto il mio disprezzo,2
balliamo finché non arriva il sole,0
ogni notte è un addio che non voglio sentire,1
sento il fuoco dentro che non si spegne,2
sei il mio rifugio nel caos,3
voglio scappare ma la mente mi trattiene,1
ogni bacio è una promessa,3
la musica mi solleva da ogni pensiero,0
cammino senza meta solo con i miei rimpianti,4
non mi ascolti non mi capisci,2
mi manchi più del cielo d’estate,4
tutto è perfetto quando ci sei tu,3
il buio mi avvolge come un mantello,1
stasera canto solo per me,0
brucia dentro come lava,2
tu sei la mia unica verità,3
ogni passo pesa come piombo,1
